timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778592423272,52,Home,200,OK,Thread Group 1-1,text,true,,1351,127,2,2,http://localhost:8080/jpetstore/,52,0,33
1778592423297,29,Home,200,OK,Thread Group 1-2,text,true,,1351,127,2,2,http://localhost:8080/jpetstore/,29,0,7
1778592423330,9,Main Catalog,200,OK,Thread Group 1-2,text,true,,5717,549,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,8,0,0
1778592423332,6,Main Catalog,200,OK,Thread Group 1-1,text,true,,5717,549,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1778592423344,13,Sign In,200,OK,Thread Group 1-2,text,true,,3923,649,2,2,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,13,0,0
1778592423351,13,Sign In,200,OK,Thread Group 1-1,text,true,,3925,649,2,2,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,13,0,0
1778592423361,29,Login,200,OK,Thread Group 1-2,text,true,,5262,1713,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1778592423361,15,Login-0,302,Found,Thread Group 1-2,,true,,193,984,2,2,http://localhost:8080/jpetstore/actions/Account.action,15,0,0
1778592423378,12,Login-1,200,OK,Thread Group 1-2,text,true,,5069,729,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,12,0,0
1778592423365,27,Login,200,OK,Thread Group 1-1,text,true,,5262,1713,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,11,0,0
1778592423365,11,Login-0,302,Found,Thread Group 1-1,,true,,193,984,2,2,http://localhost:8080/jpetstore/actions/Account.action,11,0,0
1778592423378,14,Login-1,200,OK,Thread Group 1-1,text,true,,5069,729,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,14,0,0
1778592423393,13,Reptiles,200,OK,Thread Group 1-1,text,true,,3712,249,2,2,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,13,0,0
1778592423394,13,Reptiles,200,OK,Thread Group 1-2,text,true,,3712,249,2,2,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,13,0,0
1778592423407,12,Sign Out,200,OK,Thread Group 1-1,text,true,,5249,1283,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1778592423407,4,Sign Out-0,302,Found,Thread Group 1-1,,true,,330,646,2,2,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1778592423412,7,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4919,637,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,7,0,0
1778592423408,21,Sign Out,200,OK,Thread Group 1-2,text,true,,5249,1283,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
1778592423408,10,Sign Out-0,302,Found,Thread Group 1-2,,true,,330,646,2,2,http://localhost:8080/jpetstore/actions/Account.action?signoff=,10,0,0
1778592423419,10,Sign Out-1,200,OK,Thread Group 1-2,text,true,,4919,637,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
1778592423424,13,Home,200,OK,Thread Group 1-1,text,true,,1351,193,2,2,http://localhost:8080/jpetstore/,13,0,0
1778592423432,12,Home,200,OK,Thread Group 1-2,text,true,,1351,193,2,2,http://localhost:8080/jpetstore/,12,0,0
1778592423439,5,Main Catalog,200,OK,Thread Group 1-1,text,true,,4832,615,2,2,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
